Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",3938209,100.0,100.0
All By changed lines,Google,1,"",1714146,43.526,43.526
By changed lines,Google,1,api,707913,41.298,17.976
By changed lines,Google,1,api/openapi-spec/swagger.json,596555,34.802,15.148
By changed lines,Google,1,pkg,376442,21.961,9.559
By changed lines,Google,1,docs,228914,13.354,5.813
By changed lines,Google,1,federation,136932,7.988,3.477
By changed lines,Google,1,pkg/kubelet,123537,7.207,3.137
By changed lines,Google,1,docs/user-guide/kubectl,114708,6.692,2.913
By changed lines,Google,1,federation/apis,111659,6.514,2.835
By changed lines,Google,1,api/swagger-spec,111358,6.496,2.828
By changed lines,Google,1,staging,95859,5.592,2.434
By changed lines,Google,1,staging/src/k8s.io,95744,5.586,2.431
By changed lines,Google,1,federation/apis/openapi-spec/swagger.json,77579,4.526,1.97
By changed lines,Google,1,docs/man/man1,68793,4.013,1.747
By changed lines,Google,1,pkg/controller,63001,3.675,1.6
By changed lines,Google,1,test,61324,3.578,1.557
By changed lines,Google,1,pkg/cloudprovider,60406,3.524,1.534
By changed lines,Google,1,pkg/cloudprovider/providers,60042,3.503,1.525
By changed lines,Google,1,pkg/cloudprovider/providers/gce,58347,3.404,1.482
By changed lines,Google,1,pkg/kubelet/dockertools,49909,2.912,1.267
By changed lines,Google,1,CHANGELOG.md,47235,2.756,1.199
All By changed lines,Red Hat,2,"",1233055,31.31,31.31
By changed lines,Red Hat,2,api,725947,58.874,18.433
By changed lines,Red Hat,2,api/openapi-spec/swagger.json,459129,37.235,11.658
By changed lines,Red Hat,2,api/swagger-spec,266774,21.635,6.774
By changed lines,Red Hat,2,federation,162364,13.168,4.123
By changed lines,Red Hat,2,federation/apis,150762,12.227,3.828
By changed lines,Red Hat,2,staging,145631,11.811,3.698
By changed lines,Red Hat,2,staging/src/k8s.io,145571,11.806,3.696
By changed lines,Red Hat,2,api/swagger-spec/v1.json,129663,10.516,3.292
By changed lines,Red Hat,2,pkg,99482,8.068,2.526
By changed lines,Red Hat,2,federation/apis/openapi-spec/swagger.json,87522,7.098,2.222
By changed lines,Red Hat,2,federation/apis/swagger-spec,62695,5.085,1.592
By changed lines,Red Hat,2,staging/src/k8s.io/apiserver,59157,4.798,1.502
By changed lines,Red Hat,2,staging/src/k8s.io/apiserver/pkg,57136,4.634,1.451
By changed lines,Red Hat,2,test,55893,4.533,1.419
By changed lines,Red Hat,2,staging/src/k8s.io/kube-apiextensions-server,40052,3.248,1.017
By changed lines,Red Hat,2,federation/apis/swagger-spec/extensions_v1beta1.json,34491,2.797,0.876
By changed lines,Red Hat,2,api/swagger-spec/extensions_v1beta1.json,33485,2.716,0.85
By changed lines,Red Hat,2,staging/src/k8s.io/kube-apiextensions-server/pkg,32867,2.665,0.835
By changed lines,Red Hat,2,api/swagger-spec/batch_v2alpha1.json,31535,2.557,0.801
By changed lines,Red Hat,2,test/e2e,30841,2.501,0.783
By changed lines,Red Hat,2,federation/apis/swagger-spec/v1.json,25742,2.088,0.654
By changed lines,Red Hat,2,staging/src/k8s.io/apiserver/pkg/endpoints,25087,2.035,0.637
All By changed lines,IBM,3,"",126272,3.206,3.206
By changed lines,IBM,3,api,89571,70.935,2.274
By changed lines,IBM,3,api/openapi-spec/swagger.json,55145,43.672,1.4
By changed lines,IBM,3,api/swagger-spec,34426,27.263,0.874
By changed lines,IBM,3,api/swagger-spec/v1.json,22542,17.852,0.572
By changed lines,IBM,3,federation/apis,19009,15.054,0.483
By changed lines,IBM,3,federation/apis/openapi-spec/swagger.json,15347,12.154,0.39
By changed lines,IBM,3,pkg,8807,6.975,0.224
By changed lines,IBM,3,api/swagger-spec/extensions_v1beta1.json,4599,3.642,0.117
By changed lines,IBM,3,plugin,4290,3.397,0.109
By changed lines,IBM,3,plugin/pkg,4280,3.39,0.109
By changed lines,IBM,3,federation/apis/swagger-spec/extensions_v1beta1.json,3662,2.9,0.093
By changed lines,IBM,3,plugin/pkg/scheduler,3523,2.79,0.089
By changed lines,IBM,3,pkg/api,3296,2.61,0.084
