Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",2004269,100.0,100.0
All By changed lines,Google,1,"",1243495,62.042,62.042
By changed lines,Google,1,pkg,480059,38.606,23.952
By changed lines,Google,1,api/swagger-spec,358241,28.809,17.874
By changed lines,Google,1,api/swagger-spec/v1.json,292570,23.528,14.597
By changed lines,Google,1,docs,127401,10.245,6.356
By changed lines,Google,1,pkg/api,121998,9.811,6.087
By changed lines,Google,1,pkg/registry,82547,6.638,4.119
By changed lines,Google,1,contrib,66325,5.334,3.309
By changed lines,Google,1,third_party,65985,5.306,3.292
By changed lines,Google,1,third_party/swagger-ui,65984,5.306,3.292
By changed lines,Google,1,api/swagger-spec/v1beta3.json,65505,5.268,3.268
By changed lines,Google,1,pkg/api/v1beta3,65312,5.252,3.259
By changed lines,Google,1,third_party/swagger-ui/swagger-ui.js,62802,5.05,3.133
By changed lines,Google,1,pkg/expapi,53107,4.271,2.65
By changed lines,Google,1,pkg/kubelet,48691,3.916,2.429
By changed lines,Google,1,test,46806,3.764,2.335
By changed lines,Google,1,test/e2e,44113,3.548,2.201
By changed lines,Google,1,docs/user-guide,38587,3.103,1.925
By changed lines,Google,1,hack,38325,3.082,1.912
By changed lines,Google,1,pkg/kubectl,37977,3.054,1.895
By changed lines,Google,1,pkg/expapi/v1,36533,2.938,1.823
By changed lines,Google,1,pkg/api/v1beta3/conversion_generated.go,34423,2.768,1.717
By changed lines,Google,1,pkg/api/v1,32118,2.583,1.602
By changed lines,Google,1,hack/gen-swagger-doc,30310,2.437,1.512
By changed lines,Google,1,hack/gen-swagger-doc/example-output,29752,2.393,1.484
All By changed lines,Red Hat,2,"",294569,14.697,14.697
By changed lines,Red Hat,2,pkg,141325,47.977,7.051
By changed lines,Red Hat,2,api/swagger-spec/v1.json,77547,26.326,3.869
By changed lines,Red Hat,2,contrib,25504,8.658,1.272
By changed lines,Red Hat,2,pkg/kubectl,22831,7.751,1.139
By changed lines,Red Hat,2,pkg/controller,18731,6.359,0.935
By changed lines,Red Hat,2,contrib/mesos,18585,6.309,0.927
By changed lines,Red Hat,2,pkg/api,17670,5.999,0.882
By changed lines,Red Hat,2,pkg/volume,17369,5.896,0.867
By changed lines,Red Hat,2,contrib/mesos/pkg,15614,5.301,0.779
By changed lines,Red Hat,2,pkg/client,15555,5.281,0.776
By changed lines,Red Hat,2,docs,13243,4.496,0.661
By changed lines,Red Hat,2,pkg/kubelet,12814,4.35,0.639
By changed lines,Red Hat,2,pkg/util,11315,3.841,0.565
By changed lines,Red Hat,2,test,10286,3.492,0.513
By changed lines,Red Hat,2,plugin,7661,2.601,0.382
By changed lines,Red Hat,2,plugin/pkg,7654,2.598,0.382
By changed lines,Red Hat,2,pkg/expapi,7610,2.583,0.38
By changed lines,Red Hat,2,plugin/pkg/admission,7072,2.401,0.353
By changed lines,Red Hat,2,pkg/kubectl/rolling_updater_test.go,6996,2.375,0.349
By changed lines,Red Hat,2,cmd,6546,2.222,0.327
By changed lines,Red Hat,2,contrib/mesos/pkg/scheduler,6313,2.143,0.315
By changed lines,Red Hat,2,hack,6310,2.142,0.315
By changed lines,Red Hat,2,test/e2e,6005,2.039,0.3
All By changed lines,Kismatic,3,"",209650,10.46,10.46
By changed lines,Kismatic,3,third_party/ui/bower_components,189162,90.228,9.438
By changed lines,Kismatic,3,third_party/ui/bower_components/angular-material,58116,27.72,2.9
By changed lines,Kismatic,3,third_party/ui/bower_components/angular-material/modules,38376,18.305,1.915
By changed lines,Kismatic,3,third_party/ui/bower_components/angular,27001,12.879,1.347
By changed lines,Kismatic,3,third_party/ui/bower_components/angular/angular.js,26309,12.549,1.313
By changed lines,Kismatic,3,third_party/ui/bower_components/modernizr,19519,9.31,0.974
By changed lines,Kismatic,3,third_party/ui/bower_components/jquery,19225,9.17,0.959
By changed lines,Kismatic,3,third_party/ui/bower_components/lodash,19222,9.169,0.959
By changed lines,Kismatic,3,third_party/ui/bower_components/lodash/dist,19077,9.099,0.952
By changed lines,Kismatic,3,third_party/ui/bower_components/angular-material/modules/closure,18622,8.882,0.929
By changed lines,Kismatic,3,third_party/ui/bower_components/angular-material/modules/js,17172,8.191,0.857
By changed lines,Kismatic,3,third_party/ui/bower_components/modernizr/test,15514,7.4,0.774
By changed lines,Kismatic,3,third_party/ui/bower_components/ng-lodash,12475,5.95,0.622
By changed lines,Kismatic,3,www,12053,5.749,0.601
By changed lines,Kismatic,3,third_party/ui/bower_components/angular-material/angular-material.js,11415,5.445,0.57
By changed lines,Kismatic,3,third_party/ui/bower_components/modernizr/test/js,11066,5.278,0.552
By changed lines,Kismatic,3,third_party/ui/bower_components/d3,10231,4.88,0.51
By changed lines,Kismatic,3,third_party/ui/bower_components/modernizr/test/js/lib,10022,4.78,0.5
By changed lines,Kismatic,3,third_party/ui/bower_components/jquery/src,9848,4.697,0.491
By changed lines,Kismatic,3,third_party/ui/bower_components/ng-lodash/build,9793,4.671,0.489
By changed lines,Kismatic,3,third_party/ui/bower_components/ng-lodash/build/ng-lodash.js,9782,4.666,0.488
By changed lines,Kismatic,3,third_party/ui/bower_components/d3/d3.js,9504,4.533,0.474
By changed lines,Kismatic,3,third_party/ui/bower_components/modernizr/test/js/lib/jquery-1.7b2.js,9279,4.426,0.463
All By changed lines,Self,4,"",54520,2.72,2.72
By changed lines,Self,4,pkg,35089,64.36,1.751
By changed lines,Self,4,pkg/controller,10516,19.288,0.525
By changed lines,Self,4,docs,7901,14.492,0.394
By changed lines,Self,4,pkg/api,7258,13.313,0.362
By changed lines,Self,4,pkg/controller/daemon,5337,9.789,0.266
By changed lines,Self,4,pkg/registry,5287,9.697,0.264
By changed lines,Self,4,pkg/registry/daemon,5282,9.688,0.264
By changed lines,Self,4,pkg/registry/daemon/etcd,4739,8.692,0.236
By changed lines,Self,4,pkg/registry/daemon/etcd/etcd_test.go,4477,8.212,0.223
By changed lines,Self,4,examples,4461,8.182,0.223
By changed lines,Self,4,examples/elasticsearch,4241,7.779,0.212
By changed lines,Self,4,pkg/api/validation,3472,6.368,0.173
By changed lines,Self,4,api/swagger-spec/v1.json,3357,6.157,0.167
By changed lines,Self,4,pkg/client,3166,5.807,0.158
By changed lines,Self,4,pkg/cloudprovider,3154,5.785,0.157
By changed lines,Self,4,pkg/controller/daemon/manager.go,3027,5.552,0.151
By changed lines,Self,4,docs/proposals/resource-qos.md,3019,5.537,0.151
By changed lines,Self,4,pkg/api/v1,2978,5.462,0.149
By changed lines,Self,4,pkg/api/validation/validation_test.go,2790,5.117,0.139
By changed lines,Self,4,docs/getting-started-guides,2761,5.064,0.138
By changed lines,Self,4,test,2517,4.617,0.126
By changed lines,Self,4,pkg/util,2383,4.371,0.119
All By changed lines,Huawei,5,"",37821,1.887,1.887
By changed lines,Huawei,5,pkg,22852,60.421,1.14
By changed lines,Huawei,5,pkg/kubectl,9027,23.868,0.45
By changed lines,Huawei,5,pkg/apis/experimental,6010,15.891,0.3
By changed lines,Huawei,5,cluster,5784,15.293,0.289
By changed lines,Huawei,5,docs,5666,14.981,0.283
By changed lines,Huawei,5,pkg/kubectl/cmd,5589,14.778,0.279
By changed lines,Huawei,5,pkg/apis/experimental/v1,4879,12.9,0.243
By changed lines,Huawei,5,cluster/centos,4844,12.808,0.242
By changed lines,Huawei,5,pkg/apis/experimental/v1/conversion_generated.go,3748,9.91,0.187
By changed lines,Huawei,5,pkg/proxy,3236,8.556,0.161
By changed lines,Huawei,5,pkg/proxy/config,2830,7.483,0.141
By changed lines,Huawei,5,docs/user-guide,2495,6.597,0.124
By changed lines,Huawei,5,docs/user-guide/kubectl,2137,5.65,0.107
By changed lines,Huawei,5,docs/design,1876,4.96,0.094
By changed lines,Huawei,5,docs/design/architecture.svg,1832,4.844,0.091
By changed lines,Huawei,5,pkg/proxy/config/api_test.go,1730,4.574,0.086
By changed lines,Huawei,5,pkg/client,1674,4.426,0.084
By changed lines,Huawei,5,pkg/client/record,1667,4.408,0.083
By changed lines,Huawei,5,pkg/client/record/event_test.go,1569,4.148,0.078
By changed lines,Huawei,5,cluster/centos/util.sh,1411,3.731,0.07
By changed lines,Huawei,5,pkg/volume,1392,3.68,0.069
By changed lines,Huawei,5,cluster/centos/minion,1391,3.678,0.069
By changed lines,Huawei,5,api/swagger-spec,1212,3.205,0.06
All By changed lines,CERN,6,"",34267,1.71,1.71
By changed lines,CERN,6,api/swagger-spec/v1.json,29913,87.294,1.492
By changed lines,CERN,6,pkg,2765,8.069,0.138
By changed lines,CERN,6,pkg/runtime,1392,4.062,0.069
By changed lines,CERN,6,pkg/api,1298,3.788,0.065
By changed lines,CERN,6,pkg/api/v1/types.go,1296,3.782,0.065
By changed lines,CERN,6,pkg/runtime/swagger_doc_generator.go,1255,3.662,0.063
By changed lines,CERN,6,hack,1109,3.236,0.055
By changed lines,CERN,6,hack/after-build,528,1.541,0.026
All By changed lines,eBay,7,"",21692,1.082,1.082
By changed lines,eBay,7,pkg,13072,60.262,0.652
By changed lines,eBay,7,pkg/volume,7552,34.815,0.377
By changed lines,eBay,7,pkg/volume/cinder,7468,34.427,0.373
By changed lines,eBay,7,api/swagger-spec/v1.json,6758,31.154,0.337
By changed lines,eBay,7,pkg/volume/cinder/cinder.go,2818,12.991,0.141
By changed lines,eBay,7,pkg/volume/cinder/cinder_util.go,2428,11.193,0.121
By changed lines,eBay,7,pkg/cloudprovider/providers/openstack/openstack.go,2228,10.271,0.111
By changed lines,eBay,7,pkg/api,1938,8.934,0.097
By changed lines,eBay,7,pkg/volume/cinder/cinder_test.go,1548,7.136,0.077
By changed lines,eBay,7,pkg/api/v1,1178,5.431,0.059
By changed lines,eBay,7,examples/mysql-cinder-pd,896,4.131,0.045
By changed lines,eBay,7,plugin/pkg/auth/authenticator/request/keystone,814,3.753,0.041
By changed lines,eBay,7,pkg/api/v1/conversion_generated.go,776,3.577,0.039
By changed lines,eBay,7,examples/mysql-cinder-pd/README.md,758,3.494,0.038
All By changed lines,Mesosphere,8,"",20652,1.03,1.03
By changed lines,Mesosphere,8,contrib/mesos/pkg,10892,52.741,0.543
By changed lines,Mesosphere,8,cluster,6555,31.74,0.327
By changed lines,Mesosphere,8,cluster/mesos/docker,6131,29.687,0.306
By changed lines,Mesosphere,8,contrib/mesos/pkg/minion,4673,22.627,0.233
By changed lines,Mesosphere,8,contrib/mesos/pkg/minion/tasks,3867,18.725,0.193
By changed lines,Mesosphere,8,contrib/mesos/pkg/scheduler,3062,14.827,0.153
By changed lines,Mesosphere,8,docs,3057,14.802,0.153
By changed lines,Mesosphere,8,contrib/mesos/pkg/proc,2971,14.386,0.148
By changed lines,Mesosphere,8,contrib/mesos/pkg/scheduler/podtask,2316,11.214,0.116
By changed lines,Mesosphere,8,cluster/mesos/docker/util.sh,1879,9.098,0.094
By changed lines,Mesosphere,8,contrib/mesos/pkg/minion/tasks/task.go,1844,8.929,0.092
By changed lines,Mesosphere,8,docs/getting-started-guides,1768,8.561,0.088
By changed lines,Mesosphere,8,docs/getting-started-guides/mesos-docker.md,1653,8.004,0.082
By changed lines,Mesosphere,8,contrib/mesos/pkg/minion/tasks/task_test.go,1617,7.83,0.081
By changed lines,Mesosphere,8,contrib/mesos/pkg/proc/proc.go,1344,6.508,0.067
By changed lines,Mesosphere,8,docs/user-guide/walkthrough,1289,6.242,0.064
By changed lines,Mesosphere,8,contrib/mesos/pkg/minion/server.go,801,3.879,0.04
By changed lines,Mesosphere,8,cluster/mesos/docker/docker-compose.yml,718,3.477,0.036
By changed lines,Mesosphere,8,contrib/mesos/pkg/scheduler/podtask/procurement.go,712,3.448,0.036
By changed lines,Mesosphere,8,contrib/mesos/pkg/scheduler/podtask/pod_task.go,693,3.356,0.035
By changed lines,Mesosphere,8,cluster/mesos/docker/keygen,691,3.346,0.034
All By changed lines,Amazon,9,"",16511,0.824,0.824
By changed lines,Amazon,9,pkg,10985,66.531,0.548
By changed lines,Amazon,9,pkg/util/jsonpath,9431,57.119,0.471
By changed lines,Amazon,9,third_party/golang/template,4037,24.45,0.201
By changed lines,Amazon,9,pkg/util/jsonpath/jsonpath.go,3862,23.39,0.193
By changed lines,Amazon,9,third_party/golang/template/funcs.go,3404,20.617,0.17
By changed lines,Amazon,9,pkg/util/jsonpath/parser.go,2332,14.124,0.116
By changed lines,Amazon,9,pkg/kubectl,1554,9.412,0.078
By changed lines,Amazon,9,docs,1347,8.158,0.067
By changed lines,Amazon,9,docs/user-guide,1282,7.765,0.064
By changed lines,Amazon,9,pkg/util/jsonpath/jsonpath_test.go,1269,7.686,0.063
By changed lines,Amazon,9,pkg/kubectl/resource_printer_test.go,1078,6.529,0.054
By changed lines,Amazon,9,pkg/util/jsonpath/node.go,996,6.032,0.05
