Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",2435367,100.0,100.0
All By changed lines,Google,1,"",1486182,61.025,61.025
By changed lines,Google,1,pkg,604069,40.646,24.804
By changed lines,Google,1,api/swagger-spec,320031,21.534,13.141
By changed lines,Google,1,docs,256827,17.281,10.546
By changed lines,Google,1,api/swagger-spec/v1.json,235229,15.828,9.659
By changed lines,Google,1,pkg/client,212618,14.306,8.73
By changed lines,Google,1,pkg/client/clientset_generated,120195,8.088,4.935
By changed lines,Google,1,pkg/apis,111031,7.471,4.559
By changed lines,Google,1,test,100329,6.751,4.12
By changed lines,Google,1,docs/user-guide,88292,5.941,3.625
By changed lines,Google,1,pkg/client/typed,77570,5.219,3.185
By changed lines,Google,1,pkg/client/typed/generated,75213,5.061,3.088
By changed lines,Google,1,test/e2e,71575,4.816,2.939
By changed lines,Google,1,pkg/controller,65759,4.425,2.7
By changed lines,Google,1,pkg/api,54271,3.652,2.228
By changed lines,Google,1,pkg/client/typed/generated/core,51256,3.449,2.105
By changed lines,Google,1,pkg/apis/extensions,50267,3.382,2.064
By changed lines,Google,1,docs/user-guide/kubectl,50249,3.381,2.063
By changed lines,Google,1,cluster,48350,3.253,1.985
By changed lines,Google,1,pkg/kubelet,45853,3.085,1.883
By changed lines,Google,1,pkg/client/clientset_generated/release_1_3,43340,2.916,1.78
By changed lines,Google,1,pkg/client/clientset_generated/release_1_3/typed,42253,2.843,1.735
By changed lines,Google,1,pkg/api/v1,39742,2.674,1.632
By changed lines,Google,1,pkg/client/clientset_generated/internalclientset,39621,2.666,1.627
By changed lines,Google,1,pkg/client/clientset_generated/internalclientset/typed,39276,2.643,1.613
All By changed lines,Red Hat,2,"",530056,21.765,21.765
By changed lines,Red Hat,2,pkg,329680,62.197,13.537
By changed lines,Red Hat,2,api/swagger-spec,117638,22.194,4.83
By changed lines,Red Hat,2,api/swagger-spec/v1.json,105528,19.909,4.333
By changed lines,Red Hat,2,pkg/controller,58001,10.942,2.382
By changed lines,Red Hat,2,pkg/kubelet,55155,10.406,2.265
By changed lines,Red Hat,2,pkg/controller/persistentvolume,54044,10.196,2.219
By changed lines,Red Hat,2,pkg/api,54021,10.192,2.218
By changed lines,Red Hat,2,pkg/apis,42638,8.044,1.751
By changed lines,Red Hat,2,plugin,22817,4.305,0.937
By changed lines,Red Hat,2,plugin/pkg,22807,4.303,0.936
