Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",5007247,100.0,100.0
All By changed lines,Google,1,"",3570167,71.3,71.3
By changed lines,Google,1,staging,1372115,38.433,27.403
By changed lines,Google,1,staging/src/k8s.io/client-go,1371894,38.427,27.398
By changed lines,Google,1,api,1136403,31.831,22.695
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5,1120306,31.38,22.374
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor,1067003,29.887,21.309
By changed lines,Google,1,api/openapi-spec,949961,26.608,18.972
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x,920587,25.786,18.385
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x/sys,534376,14.968,10.672
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x/sys/unix,534327,14.966,10.671
By changed lines,Google,1,pkg,455006,12.745,9.087
By changed lines,Google,1,api/openapi-spec/swagger.json,429776,12.038,8.583
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x/text,367698,10.299,7.343
By changed lines,Google,1,api/openapi-spec/root_swagger.json,266246,7.458,5.317
By changed lines,Google,1,federation,257065,7.2,5.134
By changed lines,Google,1,pkg/client,246950,6.917,4.932
By changed lines,Google,1,pkg/client/clientset_generated,231780,6.492,4.629
By changed lines,Google,1,api/swagger-spec,186442,5.222,3.723
By changed lines,Google,1,federation/apis,159052,4.455,3.176
By changed lines,Google,1,federation/apis/openapi-spec,158759,4.447,3.171
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x/text/unicode,152307,4.266,3.042
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor,135368,3.792,2.703
By changed lines,Google,1,test,134057,3.755,2.677
All By changed lines,Red Hat,2,"",951025,18.993,18.993
By changed lines,Red Hat,2,pkg,410089,43.121,8.19
By changed lines,Red Hat,2,api,278227,29.255,5.556
By changed lines,Red Hat,2,pkg/client,153709,16.162,3.07
By changed lines,Red Hat,2,api/openapi-spec,147688,15.529,2.949
By changed lines,Red Hat,2,contrib/mesos,130968,13.771,2.616
By changed lines,Red Hat,2,api/swagger-spec,130539,13.726,2.607
By changed lines,Red Hat,2,contrib/mesos/pkg,118831,12.495,2.373
By changed lines,Red Hat,2,api/swagger-spec/v1.json,104993,11.04,2.097
By changed lines,Red Hat,2,pkg/client/unversioned,86994,9.147,1.737
By changed lines,Red Hat,2,api/openapi-spec/swagger.json,84802,8.917,1.694
By changed lines,Red Hat,2,contrib/mesos/pkg/scheduler,60504,6.362,1.208
By changed lines,Red Hat,2,pkg/kubelet,53470,5.622,1.068
By changed lines,Red Hat,2,federation,51127,5.376,1.021
By changed lines,Red Hat,2,federation/apis,49621,5.218,0.991
