Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",3050918,100.0,100.0
All By changed lines,Google,1,"",1726369,56.585,56.585
By changed lines,Google,1,pkg,623567,36.12,20.439
By changed lines,Google,1,api/swagger-spec,454634,26.335,14.902
By changed lines,Google,1,api/swagger-spec/v1.json,369284,21.391,12.104
By changed lines,Google,1,third_party/golang/go,191804,11.11,6.287
By changed lines,Google,1,pkg/client,152184,8.815,4.988
By changed lines,Google,1,docs,139704,8.092,4.579
By changed lines,Google,1,test,128447,7.44,4.21
By changed lines,Google,1,pkg/apis,107195,6.209,3.514
By changed lines,Google,1,pkg/kubelet,106163,6.149,3.48
By changed lines,Google,1,test/e2e,99067,5.738,3.247
By changed lines,Google,1,pkg/client/typed,83069,4.812,2.723
By changed lines,Google,1,pkg/client/typed/generated,78774,4.563,2.582
By changed lines,Google,1,hack,55752,3.229,1.827
By changed lines,Google,1,third_party/golang/go/types,54603,3.163,1.79
By changed lines,Google,1,pkg/controller,52164,3.022,1.71
By changed lines,Google,1,api/swagger-spec/extensions_v1beta1.json,51371,2.976,1.684
By changed lines,Google,1,cmd,48863,2.83,1.602
By changed lines,Google,1,pkg/apis/extensions,48615,2.816,1.593
By changed lines,Google,1,pkg/client/unversioned,45726,2.649,1.499
By changed lines,Google,1,docs/user-guide,42548,2.465,1.395
By changed lines,Google,1,hack/jenkins,39713,2.3,1.302
By changed lines,Google,1,third_party/golang/go/printer,39559,2.291,1.297
All By changed lines,Red Hat,2,"",891273,29.213,29.213
By changed lines,Red Hat,2,pkg,389970,43.754,12.782
By changed lines,Red Hat,2,docs,181254,20.337,5.941
By changed lines,Red Hat,2,api/swagger-spec,174506,19.579,5.72
By changed lines,Red Hat,2,api/swagger-spec/v1.json,139601,15.663,4.576
By changed lines,Red Hat,2,docs/user-guide,86644,9.721,2.84
By changed lines,Red Hat,2,pkg/api,57929,6.5,1.899
By changed lines,Red Hat,2,contrib,54099,6.07,1.773
By changed lines,Red Hat,2,contrib/mesos,52769,5.921,1.73
By changed lines,Red Hat,2,contrib/mesos/pkg,51615,5.791,1.692
By changed lines,Red Hat,2,pkg/kubectl,45357,5.089,1.487
By changed lines,Red Hat,2,pkg/apis,44811,5.028,1.469
