Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",3221816,100.0,100.0
All By changed lines,Google,1,"",2479232,76.951,76.951
By changed lines,Google,1,staging,1143388,46.119,35.489
By changed lines,Google,1,staging/src/k8s.io/client-go,1143257,46.113,35.485
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4,1140959,46.021,35.414
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4/_vendor,742723,29.958,23.053
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4/_vendor/github.com,645001,26.016,20.02
By changed lines,Google,1,pkg,484391,19.538,15.035
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4/_vendor/github.com/ugorji/go,337245,13.603,10.468
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4/_vendor/github.com/ugorji/go/codec,337223,13.602,10.467
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4/_vendor/github.com/ugorji/go/codec/fast-path.generated.go,266171,10.736,8.262
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4/pkg,220825,8.907,6.854
By changed lines,Google,1,third_party,194140,7.831,6.026
By changed lines,Google,1,third_party/golang,192967,7.783,5.989
By changed lines,Google,1,third_party/golang/go,192940,7.782,5.989
By changed lines,Google,1,api/swagger-spec,170040,6.859,5.278
By changed lines,Google,1,pkg/api,134254,5.415,4.167
By changed lines,Google,1,test,117314,4.732,3.641
By changed lines,Google,1,api/swagger-spec/v1.json,107679,4.343,3.342
By changed lines,Google,1,federation,104802,4.227,3.253
By changed lines,Google,1,pkg/apis,100389,4.049,3.116
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4/pkg/api,99432,4.011,3.086
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4/_vendor/github.com/golang,92253,3.721,2.863
All By changed lines,Red Hat,2,"",359753,11.166,11.166
By changed lines,Red Hat,2,pkg,267145,74.258,8.292
By changed lines,Red Hat,2,pkg/kubelet,72393,20.123,2.247
By changed lines,Red Hat,2,pkg/controller,45010,12.511,1.397
By changed lines,Red Hat,2,pkg/api,36820,10.235,1.143
By changed lines,Red Hat,2,api/swagger-spec,29275,8.138,0.909
By changed lines,Red Hat,2,pkg/client,27916,7.76,0.866
By changed lines,Red Hat,2,pkg/controller/deployment,27637,7.682,0.858
By changed lines,Red Hat,2,test,22390,6.224,0.695
By changed lines,Red Hat,2,pkg/apis,21783,6.055,0.676
By changed lines,Red Hat,2,test/e2e,18684,5.194,0.58
By changed lines,Red Hat,2,plugin,14787,4.11,0.459
By changed lines,Red Hat,2,plugin/pkg,14785,4.11,0.459
By changed lines,Red Hat,2,plugin/pkg/admission,13813,3.84,0.429
