idx,company,n,percent
0,(All known 80),2416930,100.0
1,Google,1634853,67.6
2,Red Hat,262385,10.9
3,Schuberg Philis,212663,8.8
4,CoreOS,62182,2.6
5,Microsoft,62120,2.6
6,Mirantis,50465,2.1
7,Hyper.sh,21374,0.9
8,Apache,18261,0.8
9,Huawei,16954,0.7
10,"Embedded Systems, ECE",15721,0.7
11,(Self),13909,0.6
12,eBay,5980,0.2
13,Inovex,5638,0.2
14,VMware,4231,0.2
15,Ammeon,3830,0.2
16,Net EASE 网易有态度,2986,0.1
17,Juniper Networks,2458,0.1
18,Clarifai,2283,0.1
19,SoundCloud,2203,0.1
20,ZTE Corporation,2101,0.1
48,(Not Found),37,0.0
