idx,company,n,percent
0,(All known 78),2730455,99.99
1,Google,1757641,64.4
2,Red Hat,521984,19.1
3,Mirantis,142654,5.2
4,Apache,66451,2.4
5,IBM,50699,1.9
6,Weaveworks,40324,1.5
7,VMware,27717,1.0
8,Hyper.sh,17475,0.6
9,Apprenda,17208,0.6
10,CoreOS,16103,0.6
11,(Self),14121,0.5
12,Microsoft,10904,0.4
13,ZTE Corporation,8184,0.3
14,Jetstack,5299,0.2
15,Huawei,4478,0.2
16,Intel,4258,0.2
17,HP,3703,0.1
18,Net EASE 网易有态度,2486,0.1
19,vipshop,2342,0.1
20,"Embedded Systems, ECE",2337,0.1
32,(Not Found),277,0.0
