idx,company,n,percent
0,(All known 104),4436146,100.0
1,Google,2086726,47.0
2,Red Hat,1603888,36.2
3,Microsoft,177724,4.0
4,JPMorgan Chase,142060,3.2
5,Mirantis,53859,1.2
6,Bulletproof,50796,1.1
7,Huawei,40869,0.9
8,(Self),39178,0.9
9,Portworx,38630,0.9
10,VMware,38067,0.9
11,Dell,36918,0.8
12,IBM,30584,0.7
13,CoreOS,20550,0.5
14,Hyper.sh,12798,0.3
15,Apprenda,9075,0.2
16,Fujitsu,5831,0.1
17,Molina Healthcare,5621,0.1
18,Roche,5112,0.1
19,Kelowna,4968,0.1
20,Diamanti,4224,0.1
64,(Not Found),37,0.0
